Museum,Anzahl,Sammlung,Quelle für Sammlungsumfang
Ägyptisches Museum und Papyrussammlung,6496,100000,https://www.deutsche-digitale-bibliothek.de/organization/4GPBA4AQV5TMM5VUM7SLABKLJCMJE6IA
Antikensammlung,9593,,
Ethnologisches Museum,102111,500000,https://www.smb.museum/museen-einrichtungen/ethnologisches-museum/ueber-uns/profil/
Gemäldegalerie,1486,3500,https://www.deutsche-digitale-bibliothek.de/organization/RKQZ6SXUWGHUSDA5IG7J5CDWLJU2IUT6
Museum für Asiatische Kunst,2334,120000,https://www.tagesspiegel.de/berlin/vor-dem-umzug-ins-humboldt-forum-ein-letzter-blick-in-die-dahlemer-schatzkammer/19197266.html
Kunstbibliothek,23648,1000000,https://www.smb.museum/museen-einrichtungen/kunstbibliothek/sammeln-forschen/ueber-die-sammlungen/
Kunstgewerbemuseum,2130,,
Kupferstichkabinett,18686,610000,
Münzkabinett,39382,500000,
Museum Europäischer Kulturen,14115,280000,
Museum für Vor- und Frühgeschichte,19105,340000,
Museum für Islamische Kunst,11090,100000,
Nationalgalerie,2145,,
Skulpturensammlung und Museum für Byzantinische Kunst,1979,,,
Vorderasiatisches Museum,1269,,,

